text,label
the crypto market receives positive regulatory clarity and risk appetite is rising.,Positive
the crypto market sees increasing wallet activity while volume supports the move.,Positive
the crypto market sees increasing wallet activity and traders expect continuation.,Positive
the crypto market sees increasing wallet activity with improving macro sentiment.,Positive
the crypto market sees increasing wallet activity as confidence returns to the market.,Positive
the crypto market sees increasing wallet activity and risk appetite is rising.,Positive
the crypto market gains strong market confidence while volume supports the move.,Positive
the crypto market gains strong market confidence and traders expect continuation.,Positive
the crypto market gains strong market confidence with improving macro sentiment.,Positive
the crypto market gains strong market confidence as confidence returns to the market.,Positive
the crypto market gains strong market confidence and risk appetite is rising.,Positive
institutional investors shows strong adoption while volume supports the move.,Positive
institutional investors shows strong adoption and traders expect continuation.,Positive
institutional investors shows strong adoption with improving macro sentiment.,Positive
institutional investors shows strong adoption as confidence returns to the market.,Positive
institutional investors shows strong adoption and risk appetite is rising.,Positive
institutional investors breaks a key resistance level while volume supports the move.,Positive
institutional investors breaks a key resistance level and traders expect continuation.,Positive
institutional investors breaks a key resistance level with improving macro sentiment.,Positive
institutional investors breaks a key resistance level as confidence returns to the market.,Positive
institutional investors breaks a key resistance level and risk appetite is rising.,Positive
institutional investors records bullish momentum while volume supports the move.,Positive
institutional investors records bullish momentum and traders expect continuation.,Positive
institutional investors records bullish momentum with improving macro sentiment.,Positive
institutional investors records bullish momentum as confidence returns to the market.,Positive
institutional investors records bullish momentum and risk appetite is rising.,Positive
institutional investors attracts institutional demand while volume supports the move.,Positive
institutional investors attracts institutional demand and traders expect continuation.,Positive
institutional investors attracts institutional demand with improving macro sentiment.,Positive
institutional investors attracts institutional demand as confidence returns to the market.,Positive
institutional investors attracts institutional demand and risk appetite is rising.,Positive
institutional investors posts healthy on-chain growth while volume supports the move.,Positive
institutional investors posts healthy on-chain growth and traders expect continuation.,Positive
institutional investors posts healthy on-chain growth with improving macro sentiment.,Positive
institutional investors posts healthy on-chain growth as confidence returns to the market.,Positive
institutional investors posts healthy on-chain growth and risk appetite is rising.,Positive
institutional investors signals a possible rally while volume supports the move.,Positive
institutional investors signals a possible rally and traders expect continuation.,Positive
institutional investors signals a possible rally with improving macro sentiment.,Positive
institutional investors signals a possible rally as confidence returns to the market.,Positive
institutional investors signals a possible rally and risk appetite is rising.,Positive
institutional investors prints a higher high pattern while volume supports the move.,Positive
institutional investors prints a higher high pattern and traders expect continuation.,Positive
institutional investors prints a higher high pattern with improving macro sentiment.,Positive
institutional investors prints a higher high pattern as confidence returns to the market.,Positive
institutional investors prints a higher high pattern and risk appetite is rising.,Positive
institutional investors receives positive regulatory clarity while volume supports the move.,Positive
institutional investors receives positive regulatory clarity and traders expect continuation.,Positive
institutional investors receives positive regulatory clarity with improving macro sentiment.,Positive
institutional investors receives positive regulatory clarity as confidence returns to the market.,Positive
institutional investors receives positive regulatory clarity and risk appetite is rising.,Positive
institutional investors sees increasing wallet activity while volume supports the move.,Positive
institutional investors sees increasing wallet activity and traders expect continuation.,Positive
institutional investors sees increasing wallet activity with improving macro sentiment.,Positive
institutional investors sees increasing wallet activity as confidence returns to the market.,Positive
institutional investors sees increasing wallet activity and risk appetite is rising.,Positive
institutional investors gains strong market confidence while volume supports the move.,Positive
institutional investors gains strong market confidence and traders expect continuation.,Positive
institutional investors gains strong market confidence with improving macro sentiment.,Positive
institutional investors gains strong market confidence as confidence returns to the market.,Positive
institutional investors gains strong market confidence and risk appetite is rising.,Positive
retail traders shows strong adoption while volume supports the move.,Positive
retail traders shows strong adoption and traders expect continuation.,Positive
retail traders shows strong adoption with improving macro sentiment.,Positive
retail traders shows strong adoption as confidence returns to the market.,Positive
retail traders shows strong adoption and risk appetite is rising.,Positive
retail traders breaks a key resistance level while volume supports the move.,Positive
retail traders breaks a key resistance level and traders expect continuation.,Positive
retail traders breaks a key resistance level with improving macro sentiment.,Positive
retail traders breaks a key resistance level as confidence returns to the market.,Positive
retail traders breaks a key resistance level and risk appetite is rising.,Positive
retail traders records bullish momentum while volume supports the move.,Positive
retail traders records bullish momentum and traders expect continuation.,Positive
retail traders records bullish momentum with improving macro sentiment.,Positive
retail traders records bullish momentum as confidence returns to the market.,Positive
retail traders records bullish momentum and risk appetite is rising.,Positive
retail traders attracts institutional demand while volume supports the move.,Positive
retail traders attracts institutional demand and traders expect continuation.,Positive
retail traders attracts institutional demand with improving macro sentiment.,Positive
retail traders attracts institutional demand as confidence returns to the market.,Positive
retail traders attracts institutional demand and risk appetite is rising.,Positive
retail traders posts healthy on-chain growth while volume supports the move.,Positive
retail traders posts healthy on-chain growth and traders expect continuation.,Positive
retail traders posts healthy on-chain growth with improving macro sentiment.,Positive
retail traders posts healthy on-chain growth as confidence returns to the market.,Positive
retail traders posts healthy on-chain growth and risk appetite is rising.,Positive
retail traders signals a possible rally while volume supports the move.,Positive
retail traders signals a possible rally and traders expect continuation.,Positive
retail traders signals a possible rally with improving macro sentiment.,Positive
retail traders signals a possible rally as confidence returns to the market.,Positive
retail traders signals a possible rally and risk appetite is rising.,Positive
retail traders prints a higher high pattern while volume supports the move.,Positive
retail traders prints a higher high pattern and traders expect continuation.,Positive
retail traders prints a higher high pattern with improving macro sentiment.,Positive
retail traders prints a higher high pattern as confidence returns to the market.,Positive
retail traders prints a higher high pattern and risk appetite is rising.,Positive
retail traders receives positive regulatory clarity while volume supports the move.,Positive
retail traders receives positive regulatory clarity and traders expect continuation.,Positive
retail traders receives positive regulatory clarity with improving macro sentiment.,Positive
retail traders receives positive regulatory clarity as confidence returns to the market.,Positive
retail traders receives positive regulatory clarity and risk appetite is rising.,Positive
retail traders sees increasing wallet activity while volume supports the move.,Positive
retail traders sees increasing wallet activity and traders expect continuation.,Positive
retail traders sees increasing wallet activity with improving macro sentiment.,Positive
retail traders sees increasing wallet activity as confidence returns to the market.,Positive
retail traders sees increasing wallet activity and risk appetite is rising.,Positive
retail traders gains strong market confidence while volume supports the move.,Positive
retail traders gains strong market confidence and traders expect continuation.,Positive
retail traders gains strong market confidence with improving macro sentiment.,Positive
retail traders gains strong market confidence as confidence returns to the market.,Positive
retail traders gains strong market confidence and risk appetite is rising.,Positive
ETF flows shows strong adoption while volume supports the move.,Positive
ETF flows shows strong adoption and traders expect continuation.,Positive
ETF flows shows strong adoption with improving macro sentiment.,Positive
ETF flows shows strong adoption as confidence returns to the market.,Positive
ETF flows shows strong adoption and risk appetite is rising.,Positive
ETF flows breaks a key resistance level while volume supports the move.,Positive
ETF flows breaks a key resistance level and traders expect continuation.,Positive
ETF flows breaks a key resistance level with improving macro sentiment.,Positive
ETF flows breaks a key resistance level as confidence returns to the market.,Positive
ETF flows breaks a key resistance level and risk appetite is rising.,Positive
ETF flows records bullish momentum while volume supports the move.,Positive
ETF flows records bullish momentum and traders expect continuation.,Positive
ETF flows records bullish momentum with improving macro sentiment.,Positive
ETF flows records bullish momentum as confidence returns to the market.,Positive
ETF flows records bullish momentum and risk appetite is rising.,Positive
ETF flows attracts institutional demand while volume supports the move.,Positive
ETF flows attracts institutional demand and traders expect continuation.,Positive
ETF flows attracts institutional demand with improving macro sentiment.,Positive
ETF flows attracts institutional demand as confidence returns to the market.,Positive
ETF flows attracts institutional demand and risk appetite is rising.,Positive
ETF flows posts healthy on-chain growth while volume supports the move.,Positive
ETF flows posts healthy on-chain growth and traders expect continuation.,Positive
ETF flows posts healthy on-chain growth with improving macro sentiment.,Positive
ETF flows posts healthy on-chain growth as confidence returns to the market.,Positive
ETF flows posts healthy on-chain growth and risk appetite is rising.,Positive
ETF flows signals a possible rally while volume supports the move.,Positive
ETF flows signals a possible rally and traders expect continuation.,Positive
ETF flows signals a possible rally with improving macro sentiment.,Positive
ETF flows signals a possible rally as confidence returns to the market.,Positive
ETF flows signals a possible rally and risk appetite is rising.,Positive
ETF flows prints a higher high pattern while volume supports the move.,Positive
ETF flows prints a higher high pattern and traders expect continuation.,Positive
ETF flows prints a higher high pattern with improving macro sentiment.,Positive
ETF flows prints a higher high pattern as confidence returns to the market.,Positive
ETF flows prints a higher high pattern and risk appetite is rising.,Positive
ETF flows receives positive regulatory clarity while volume supports the move.,Positive
ETF flows receives positive regulatory clarity and traders expect continuation.,Positive
ETF flows receives positive regulatory clarity with improving macro sentiment.,Positive
ETF flows receives positive regulatory clarity as confidence returns to the market.,Positive
ETF flows receives positive regulatory clarity and risk appetite is rising.,Positive
ETF flows sees increasing wallet activity while volume supports the move.,Positive
ETF flows sees increasing wallet activity and traders expect continuation.,Positive
ETF flows sees increasing wallet activity with improving macro sentiment.,Positive
ETF flows sees increasing wallet activity as confidence returns to the market.,Positive
ETF flows sees increasing wallet activity and risk appetite is rising.,Positive
ETF flows gains strong market confidence while volume supports the move.,Positive
ETF flows gains strong market confidence and traders expect continuation.,Positive
ETF flows gains strong market confidence with improving macro sentiment.,Positive
ETF flows gains strong market confidence as confidence returns to the market.,Positive
ETF flows gains strong market confidence and risk appetite is rising.,Positive
on-chain activity shows strong adoption while volume supports the move.,Positive
on-chain activity shows strong adoption and traders expect continuation.,Positive
on-chain activity shows strong adoption with improving macro sentiment.,Positive
on-chain activity shows strong adoption as confidence returns to the market.,Positive
on-chain activity shows strong adoption and risk appetite is rising.,Positive
on-chain activity breaks a key resistance level while volume supports the move.,Positive
on-chain activity breaks a key resistance level and traders expect continuation.,Positive
on-chain activity breaks a key resistance level with improving macro sentiment.,Positive
on-chain activity breaks a key resistance level as confidence returns to the market.,Positive
on-chain activity breaks a key resistance level and risk appetite is rising.,Positive
on-chain activity records bullish momentum while volume supports the move.,Positive
on-chain activity records bullish momentum and traders expect continuation.,Positive
on-chain activity records bullish momentum with improving macro sentiment.,Positive
on-chain activity records bullish momentum as confidence returns to the market.,Positive
on-chain activity records bullish momentum and risk appetite is rising.,Positive
on-chain activity attracts institutional demand while volume supports the move.,Positive
on-chain activity attracts institutional demand and traders expect continuation.,Positive
on-chain activity attracts institutional demand with improving macro sentiment.,Positive
on-chain activity attracts institutional demand as confidence returns to the market.,Positive
on-chain activity attracts institutional demand and risk appetite is rising.,Positive
on-chain activity posts healthy on-chain growth while volume supports the move.,Positive
on-chain activity posts healthy on-chain growth and traders expect continuation.,Positive
on-chain activity posts healthy on-chain growth with improving macro sentiment.,Positive
on-chain activity posts healthy on-chain growth as confidence returns to the market.,Positive
on-chain activity posts healthy on-chain growth and risk appetite is rising.,Positive
on-chain activity signals a possible rally while volume supports the move.,Positive
on-chain activity signals a possible rally and traders expect continuation.,Positive
on-chain activity signals a possible rally with improving macro sentiment.,Positive
on-chain activity signals a possible rally as confidence returns to the market.,Positive
on-chain activity signals a possible rally and risk appetite is rising.,Positive
on-chain activity prints a higher high pattern while volume supports the move.,Positive
on-chain activity prints a higher high pattern and traders expect continuation.,Positive
on-chain activity prints a higher high pattern with improving macro sentiment.,Positive
on-chain activity prints a higher high pattern as confidence returns to the market.,Positive
on-chain activity prints a higher high pattern and risk appetite is rising.,Positive
on-chain activity receives positive regulatory clarity while volume supports the move.,Positive
on-chain activity receives positive regulatory clarity and traders expect continuation.,Positive
on-chain activity receives positive regulatory clarity with improving macro sentiment.,Positive
on-chain activity receives positive regulatory clarity as confidence returns to the market.,Positive
on-chain activity receives positive regulatory clarity and risk appetite is rising.,Positive
on-chain activity sees increasing wallet activity while volume supports the move.,Positive
on-chain activity sees increasing wallet activity and traders expect continuation.,Positive
on-chain activity sees increasing wallet activity with improving macro sentiment.,Positive
on-chain activity sees increasing wallet activity as confidence returns to the market.,Positive
on-chain activity sees increasing wallet activity and risk appetite is rising.,Positive
on-chain activity gains strong market confidence while volume supports the move.,Positive
on-chain activity gains strong market confidence and traders expect continuation.,Positive
on-chain activity gains strong market confidence with improving macro sentiment.,Positive
on-chain activity gains strong market confidence as confidence returns to the market.,Positive
on-chain activity gains strong market confidence and risk appetite is rising.,Positive
market sentiment shows strong adoption while volume supports the move.,Positive
market sentiment shows strong adoption and traders expect continuation.,Positive
market sentiment shows strong adoption with improving macro sentiment.,Positive
market sentiment shows strong adoption as confidence returns to the market.,Positive
market sentiment shows strong adoption and risk appetite is rising.,Positive
market sentiment breaks a key resistance level while volume supports the move.,Positive
market sentiment breaks a key resistance level and traders expect continuation.,Positive
market sentiment breaks a key resistance level with improving macro sentiment.,Positive
market sentiment breaks a key resistance level as confidence returns to the market.,Positive
market sentiment breaks a key resistance level and risk appetite is rising.,Positive
market sentiment records bullish momentum while volume supports the move.,Positive
market sentiment records bullish momentum and traders expect continuation.,Positive
market sentiment records bullish momentum with improving macro sentiment.,Positive
market sentiment records bullish momentum as confidence returns to the market.,Positive
market sentiment records bullish momentum and risk appetite is rising.,Positive
market sentiment attracts institutional demand while volume supports the move.,Positive
market sentiment attracts institutional demand and traders expect continuation.,Positive
market sentiment attracts institutional demand with improving macro sentiment.,Positive
market sentiment attracts institutional demand as confidence returns to the market.,Positive
market sentiment attracts institutional demand and risk appetite is rising.,Positive
market sentiment posts healthy on-chain growth while volume supports the move.,Positive
market sentiment posts healthy on-chain growth and traders expect continuation.,Positive
market sentiment posts healthy on-chain growth with improving macro sentiment.,Positive
market sentiment posts healthy on-chain growth as confidence returns to the market.,Positive
market sentiment posts healthy on-chain growth and risk appetite is rising.,Positive
market sentiment signals a possible rally while volume supports the move.,Positive
market sentiment signals a possible rally and traders expect continuation.,Positive
market sentiment signals a possible rally with improving macro sentiment.,Positive
market sentiment signals a possible rally as confidence returns to the market.,Positive
market sentiment signals a possible rally and risk appetite is rising.,Positive
market sentiment prints a higher high pattern while volume supports the move.,Positive
market sentiment prints a higher high pattern and traders expect continuation.,Positive
market sentiment prints a higher high pattern with improving macro sentiment.,Positive
market sentiment prints a higher high pattern as confidence returns to the market.,Positive
market sentiment prints a higher high pattern and risk appetite is rising.,Positive
market sentiment receives positive regulatory clarity while volume supports the move.,Positive
market sentiment receives positive regulatory clarity and traders expect continuation.,Positive
market sentiment receives positive regulatory clarity with improving macro sentiment.,Positive
market sentiment receives positive regulatory clarity as confidence returns to the market.,Positive
market sentiment receives positive regulatory clarity and risk appetite is rising.,Positive
market sentiment sees increasing wallet activity while volume supports the move.,Positive
market sentiment sees increasing wallet activity and traders expect continuation.,Positive
market sentiment sees increasing wallet activity with improving macro sentiment.,Positive
market sentiment sees increasing wallet activity as confidence returns to the market.,Positive
market sentiment sees increasing wallet activity and risk appetite is rising.,Positive
market sentiment gains strong market confidence while volume supports the move.,Positive
market sentiment gains strong market confidence and traders expect continuation.,Positive
market sentiment gains strong market confidence with improving macro sentiment.,Positive
market sentiment gains strong market confidence as confidence returns to the market.,Positive
market sentiment gains strong market confidence and risk appetite is rising.,Positive
Bitcoin faces bearish pressure while volatility remains elevated.,Negative
